,GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
GameID,1.0,0.024973635404648236,0.08851147131504566,-0.025322258616229724,0.004177962270101591,0.07594376915872976,0.07029844938673238,0.06391471751205063,0.0811764266655773,0.022422015931370946,0.009898283713957604,0.035622086239250256,-0.06562880350296696,-0.0427110384731154,0.039482435176320996,0.03089361141994719,-0.015190573251616674,0.02948692968222477,-0.018055751822023652,0.0040508790016376825
LeagueIndex,0.024973635404648236,1.0,-0.12751785681253275,0.21792962195020263,0.02388350756189593,0.6241710970772614,0.42863675558377906,0.48727973208657,0.32241463073766397,0.2705257885396442,0.2063800518574094,0.5891934978942316,-0.537535660935747,-0.6599402519394568,0.1403028957922508,0.23034743325365775,0.3104515329474209,0.1519334356036438,0.17118967334107915,0.15603323529227536
Age,0.08851147131504566,-0.12751785681253275,1.0,-0.1844313479538215,-0.01663028478824052,-0.2107240211699116,-0.13110512748151865,-0.10496029142268434,0.015119375236188629,0.04310037070833847,-0.0199037727328418,-0.1971276637607863,0.1121061156461993,0.24024007556861446,-0.04589256340419624,-0.024191291240234978,-0.09229121096151387,0.022893369672226695,-0.08026864262375424,-0.06560304237965633
HoursPerWeek,-0.025322258616229724,0.21792962195020263,-0.1844313479538215,1.0,0.024306306950630515,0.24689709930555445,0.20579210891088856,0.15831573006706798,0.07026196806765497,0.08410275390133123,0.049498455778157154,0.17487149376301725,-0.1338377121833033,-0.18873468822850978,0.09527073089020832,0.06489575731638608,0.05067887972434299,0.0385241285466034,0.05928513400370704,0.07471315312816995
TotalHours,0.004177962270101591,0.02388350756189593,-0.01663028478824052,0.024306306950630515,1.0,0.07285001918383043,0.0818295465645952,0.042414660184043794,0.009318247941188934,0.0008688628332531542,0.007662193626772622,0.03957684774925375,-0.02064434837792061,-0.035700061232826576,0.010703549901277013,0.02048597276866604,0.014827867605627819,-0.0023786798387028705,-0.00715379355667096,-0.006310858160915639
APM,0.07594376915872976,0.6241710970772614,-0.2107240211699116,0.24689709930555445,0.07285001918383043,1.0,0.814624191152189,0.5341335637217572,0.33598557810858287,0.21856228611852255,0.3063915148161652,0.635248385543596,-0.567395627301538,-0.7222531672142559,0.40292811158324826,0.23933584179240916,0.3777188412219675,0.12291639856473,0.16177350952690123,0.14105995939916097
SelectByHotkeys,0.07029844938673238,0.42863675558377906,-0.13110512748151865,0.20579210891088856,0.0818295465645952,0.814624191152189,1.0,0.4503422383718216,0.2740302592148126,0.13272318440975894,0.10761458591048341,0.3600568056425618,-0.27376720816173383,-0.3900124971370456,0.16696417934325458,0.09739677835276138,0.16140363921865222,0.02762819903163778,0.06546724468146413,0.0637196436713753
AssignToHotkeys,0.06391471751205063,0.48727973208657,-0.10496029142268434,0.15831573006706798,0.042414660184043794,0.5341335637217572,0.4503422383718216,1.0,0.4025554029734928,0.20543582138799982,0.15499840635577297,0.45448048523647033,-0.3779259707045701,-0.46149623072526114,0.09150791180612254,0.20186151886195527,0.19701125600030336,0.1493291036675258,0.16984876414329908,0.16904819086727563
UniqueHotkeys,0.0811764266655773,0.32241463073766397,0.015119375236188629,0.07026196806765497,0.009318247941188934,0.33598557810858287,0.2740302592148126,0.4025554029734928,1.0,0.1510294640545273,0.12456987441032973,0.35311231676276345,-0.22374497273117167,-0.3045827719431321,-0.02222723330564663,0.26794039956482096,0.11131893993591392,0.23327365509202982,0.12235185448051304,0.11000380203895245
MinimapAttacks,0.022422015931370946,0.2705257885396442,0.04310037070833847,0.08410275390133123,0.0008688628332531542,0.21856228611852255,0.13272318440975894,0.20543582138799982,0.1510294640545273,1.0,0.22468341199049327,0.13774499183331063,-0.21332991466220652,-0.1714642982821984,0.13371216248559717,0.16411049966282015,0.08228283070901224,0.1250350249465199,0.05222473525968016,0.04226519405168919
